accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
85	0.8312	0.6094	0.3565	0.7655	0.1688	0.8771	17.2000	0.0776	874.0000	89.0000	0.1018	899.0000
86	0.8342	0.6189	0.3663	0.7550	0.1819	0.8875	17.0000	0.0693	887.0000	81.0000	0.0913	903.0000
87	0.8537	0.6106	0.3479	0.7616	0.1862	0.8932	17.1000	0.0738	850.0000	86.0000	0.1012	876.0000
88	0.8172	0.6148	0.3516	0.7453	0.1609	0.8657	17.0000	0.0834	821.0000	97.0000	0.1181	842.0000
89	0.8365	0.6148	0.3592	0.7699	0.1773	0.8818	17.0000	0.0584	874.0000	83.0000	0.0950	893.0000
90	0.8263	0.6246	0.3590	0.7774	0.1936	0.8805	17.2000	0.0741	889.0000	88.0000	0.0990	920.0000
91	0.8140	0.6209	0.3651	0.7548	0.1844	0.8837	17.1000	0.0820	850.0000	80.0000	0.0941	885.0000
92	0.8603	0.6246	0.3585	0.7776	0.1775	0.8999	16.9000	0.0562	878.0000	81.0000	0.0923	904.0000
93	0.8196	0.6110	0.3492	0.7627	0.1665	0.8860	16.9000	0.0797	849.0000	89.0000	0.1048	872.0000
94	0.7994	0.6148	0.3471	0.7678	0.1447	0.8845	17.1000	0.0734	871.0000	87.0000	0.0999	884.0000
95	0.8028	0.6180	0.3626	0.7691	0.1508	0.8881	17.0000	0.0647	896.0000	80.0000	0.0893	901.0000
96	0.8245	0.6222	0.3641	0.7746	0.1932	0.8865	17.0000	0.0701	826.0000	83.0000	0.1005	845.0000
97	0.8169	0.6110	0.3596	0.7655	0.1758	0.8820	17.2000	0.0799	842.0000	91.0000	0.1081	881.0000
98	0.8113	0.6123	0.3444	0.7319	0.1529	0.8778	17.0000	0.0759	865.0000	91.0000	0.1052	882.0000
99	0.8375	0.6152	0.3509	0.7415	0.1849	0.8872	17.1000	0.0845	905.0000	92.0000	0.1017	930.0000
100	0.8323	0.6176	0.3590	0.7741	0.1812	0.8847	16.9000	0.0740	893.0000	86.0000	0.0963	908.0000
101	0.8366	0.6094	0.3431	0.7569	0.1657	0.8852	17.0000	0.0793	839.0000	92.0000	0.1097	870.0000
102	0.8225	0.6090	0.3560	0.7823	0.1630	0.8906	17.0000	0.0782	825.0000	80.0000	0.0970	840.0000
103	0.8363	0.6213	0.3607	0.7822	0.1791	0.9017	17.0000	0.0597	843.0000	75.0000	0.0890	860.0000
104	0.8179	0.6193	0.3613	0.7691	0.1713	0.8886	17.1000	0.0664	856.0000	84.0000	0.0981	900.0000
105	0.8233	0.6189	0.3624	0.7872	0.1908	0.8860	16.9000	0.0775	859.0000	82.0000	0.0955	887.0000
106	0.8251	0.6106	0.3647	0.7480	0.1687	0.8863	17.0000	0.0774	835.0000	87.0000	0.1042	861.0000
107	0.8130	0.6164	0.3557	0.7670	0.1628	0.8793	17.0000	0.0614	900.0000	90.0000	0.1000	914.0000
108	0.8326	0.6123	0.3538	0.7852	0.1843	0.8951	17.1000	0.0593	844.0000	79.0000	0.0936	877.0000
109	0.8141	0.6106	0.3552	0.7646	0.1692	0.8784	17.0000	0.0758	876.0000	88.0000	0.1005	898.0000
110	0.8400	0.6123	0.3498	0.7573	0.1868	0.8926	17.1000	0.0716	877.0000	84.0000	0.0958	917.0000
111	0.8094	0.6209	0.3561	0.7483	0.1804	0.8810	16.9000	0.0911	858.0000	92.0000	0.1072	887.0000
112	0.8384	0.6185	0.3553	0.7690	0.1862	0.8870	17.1000	0.0672	832.0000	88.0000	0.1058	843.0000
113	0.8222	0.6044	0.3518	0.7641	0.1629	0.8772	16.9000	0.0692	813.0000	86.0000	0.1058	856.0000
114	0.7970	0.6135	0.3592	0.7524	0.1662	0.8830	16.9000	0.0740	861.0000	83.0000	0.0964	876.0000
115	0.8335	0.6185	0.3443	0.7955	0.1789	0.9030	17.0000	0.0629	846.0000	76.0000	0.0898	852.0000
116	0.8611	0.6160	0.3497	0.7282	0.1761	0.8907	16.9000	0.0611	898.0000	84.0000	0.0935	934.0000
117	0.8289	0.6197	0.3499	0.7642	0.1943	0.8896	16.9000	0.0710	851.0000	83.0000	0.0975	884.0000
118	0.8194	0.6172	0.3539	0.7692	0.1839	0.8822	17.1000	0.0755	905.0000	87.0000	0.0961	939.0000
119	0.8285	0.6246	0.3655	0.7893	0.1807	0.9006	17.0000	0.0673	831.0000	78.0000	0.0939	865.0000
120	0.8150	0.6176	0.3555	0.7708	0.1835	0.8847	17.2000	0.0688	870.0000	89.0000	0.1023	888.0000
121	0.8169	0.6176	0.3612	0.7555	0.1770	0.8846	16.9000	0.0783	880.0000	92.0000	0.1045	884.0000
122	0.8327	0.6143	0.3463	0.8004	0.1681	0.8875	16.9000	0.0679	818.0000	81.0000	0.0990	845.0000
123	0.8392	0.6106	0.3560	0.7580	0.1703	0.8783	16.9000	0.0796	866.0000	97.0000	0.1120	878.0000
124	0.8307	0.6222	0.3640	0.7655	0.1590	0.8787	16.9000	0.0682	879.0000	83.0000	0.0944	885.0000
125	0.8385	0.6189	0.3528	0.7593	0.1736	0.8785	17.0000	0.0628	867.0000	86.0000	0.0992	874.0000
126	0.8251	0.6086	0.3400	0.7553	0.1463	0.8901	17.0000	0.0555	865.0000	82.0000	0.0948	871.0000
127	0.8157	0.6115	0.3460	0.7691	0.1716	0.8778	17.1000	0.0788	850.0000	89.0000	0.1047	879.0000
128	0.8086	0.6127	0.3534	0.7522	0.1769	0.8958	17.1000	0.0605	857.0000	77.0000	0.0898	885.0000
129	0.8326	0.6164	0.3623	0.7898	0.1995	0.8952	17.1000	0.0664	829.0000	81.0000	0.0977	859.0000
130	0.8196	0.6345	0.3731	0.7390	0.1790	0.8817	17.1000	0.0716	887.0000	92.0000	0.1037	889.0000
131	0.8232	0.6251	0.3633	0.7589	0.1735	0.8749	17.0000	0.0668	914.0000	100.0000	0.1094	933.0000
132	0.8426	0.6275	0.3650	0.7524	0.1797	0.8806	16.9000	0.0722	879.0000	93.0000	0.1058	900.0000
133	0.8135	0.6090	0.3442	0.7277	0.1695	0.8721	16.9000	0.0969	864.0000	95.0000	0.1100	884.0000
134	0.8405	0.6193	0.3610	0.7859	0.1834	0.8935	17.1000	0.0642	824.0000	82.0000	0.0995	837.0000
135	0.8288	0.6110	0.3419	0.7673	0.1719	0.8859	16.9000	0.0792	810.0000	83.0000	0.1025	843.0000
136	0.8038	0.6143	0.3658	0.7552	0.1900	0.8825	17.0000	0.0790	829.0000	89.0000	0.1074	867.0000
137	0.8229	0.6156	0.3505	0.7508	0.1678	0.8745	16.8000	0.0907	845.0000	96.0000	0.1136	863.0000
138	0.8283	0.6143	0.3519	0.7483	0.1660	0.8813	17.0000	0.0746	861.0000	92.0000	0.1069	911.0000
139	0.8148	0.6152	0.3589	0.7575	0.1786	0.8855	16.9000	0.0590	889.0000	88.0000	0.0990	906.0000
140	0.8357	0.6168	0.3573	0.7575	0.1683	0.8814	17.0000	0.0594	881.0000	87.0000	0.0988	894.0000
141	0.8344	0.6164	0.3600	0.7708	0.1804	0.9011	17.0000	0.0590	866.0000	77.0000	0.0889	897.0000
142	0.8077	0.6209	0.3489	0.7620	0.1752	0.8824	17.0000	0.0703	887.0000	91.0000	0.1026	922.0000
143	0.8266	0.6135	0.3530	0.7611	0.1728	0.8824	17.0000	0.0626	883.0000	92.0000	0.1042	905.0000
144	0.8366	0.6106	0.3571	0.7829	0.1780	0.8792	16.9000	0.0732	876.0000	86.0000	0.0982	891.0000
145	0.8425	0.6189	0.3530	0.7770	0.1742	0.9000	16.7000	0.0558	858.0000	76.0000	0.0886	872.0000
146	0.8217	0.6193	0.3566	0.7762	0.1837	0.8882	17.2000	0.0679	841.0000	86.0000	0.1023	867.0000
147	0.8173	0.6185	0.3518	0.7565	0.1695	0.8870	17.1000	0.0716	855.0000	90.0000	0.1053	866.0000
