accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
169	0.5199	0.5805	0.3484	0.7874	0.0810	0.7387	36.0000	0.1678	786.0000	182.0000	0.2316	789.0000
170	0.5257	0.5827	0.3525	0.7949	0.0805	0.7391	36.0000	0.1755	760.0000	183.0000	0.2408	764.0000
171	0.5314	0.5800	0.3528	0.8093	0.0817	0.7802	35.0000	0.1522	743.0000	160.0000	0.2153	747.0000
172	0.5388	0.5871	0.3738	0.7994	0.0927	0.7579	35.2500	0.1521	742.0000	175.0000	0.2358	744.0000
173	0.5064	0.5750	0.3553	0.7893	0.0864	0.7611	35.1250	0.1464	724.0000	169.0000	0.2334	728.0000
174	0.5682	0.5893	0.3617	0.7961	0.0861	0.7594	35.2500	0.1379	768.0000	177.0000	0.2305	773.0000
175	0.5023	0.5602	0.3632	0.7852	0.0787	0.7500	34.6250	0.1636	754.0000	175.0000	0.2321	761.0000
176	0.5094	0.5756	0.3533	0.8137	0.0860	0.7490	35.3750	0.1538	757.0000	171.0000	0.2259	761.0000
177	0.5448	0.5816	0.3635	0.8016	0.0821	0.7812	35.3750	0.1313	791.0000	159.0000	0.2010	794.0000
178	0.5398	0.5910	0.3664	0.7992	0.0859	0.7528	35.0000	0.1285	782.0000	181.0000	0.2315	786.0000
179	0.5433	0.5877	0.3676	0.8110	0.0915	0.7620	35.6250	0.1465	729.0000	170.0000	0.2332	731.0000
180	0.5566	0.5800	0.3619	0.8008	0.0876	0.7646	35.5000	0.1543	736.0000	165.0000	0.2242	738.0000
181	0.5199	0.5734	0.3564	0.8037	0.0859	0.7626	35.0000	0.1351	757.0000	171.0000	0.2259	761.0000
182	0.5302	0.5690	0.3492	0.8141	0.0870	0.7501	35.6250	0.1448	759.0000	173.0000	0.2279	763.0000
183	0.5407	0.5723	0.3495	0.8235	0.0851	0.7663	35.2500	0.1431	690.0000	163.0000	0.2362	693.0000
184	0.5622	0.5921	0.3593	0.8062	0.0868	0.7654	35.0000	0.1548	755.0000	171.0000	0.2265	758.0000
185	0.5270	0.5849	0.3540	0.8062	0.0844	0.7631	36.2500	0.1419	784.0000	177.0000	0.2258	787.0000
186	0.5252	0.5866	0.3627	0.8181	0.0881	0.7664	35.7500	0.1493	745.0000	164.0000	0.2201	748.0000
187	0.4947	0.5723	0.3432	0.7998	0.0853	0.7502	35.5000	0.1793	702.0000	165.0000	0.2350	708.0000
188	0.5586	0.5761	0.3403	0.8040	0.0865	0.7650	35.8750	0.1503	697.0000	170.0000	0.2439	700.0000
189	0.5270	0.5728	0.3467	0.7958	0.0791	0.7474	35.6250	0.1629	762.0000	175.0000	0.2297	767.0000
190	0.5109	0.5767	0.3555	0.7980	0.0825	0.7484	35.7500	0.1609	735.0000	174.0000	0.2367	737.0000
191	0.5322	0.5767	0.3401	0.7993	0.0769	0.7553	35.6250	0.1373	766.0000	175.0000	0.2285	769.0000
192	0.4922	0.5794	0.3607	0.8001	0.0792	0.7500	35.8750	0.1560	753.0000	171.0000	0.2271	760.0000
193	0.5020	0.5761	0.3422	0.7923	0.0846	0.7332	35.6250	0.1819	678.0000	181.0000	0.2670	682.0000
194	0.5472	0.5712	0.3589	0.7951	0.0825	0.7434	35.8750	0.1564	753.0000	179.0000	0.2377	756.0000
195	0.5083	0.5800	0.3564	0.7944	0.0815	0.7512	35.8750	0.1501	750.0000	183.0000	0.2440	753.0000
196	0.4980	0.5734	0.3494	0.7911	0.0870	0.7521	35.3750	0.1636	710.0000	172.0000	0.2423	712.0000
197	0.5362	0.5783	0.3586	0.7698	0.0835	0.7430	35.3750	0.1413	733.0000	180.0000	0.2456	736.0000
198	0.4963	0.5800	0.3484	0.8060	0.0809	0.7447	35.3750	0.1659	753.0000	169.0000	0.2244	757.0000
199	0.5292	0.5926	0.3686	0.8059	0.0867	0.7519	35.8750	0.1639	746.0000	177.0000	0.2373	749.0000
200	0.5436	0.5778	0.3569	0.8032	0.0771	0.7734	35.6250	0.1476	799.0000	163.0000	0.2040	805.0000
201	0.5286	0.5734	0.3554	0.7888	0.0786	0.7567	35.2500	0.1421	758.0000	163.0000	0.2150	765.0000
202	0.4920	0.5767	0.3512	0.7990	0.0781	0.7424	35.5000	0.1699	755.0000	172.0000	0.2278	761.0000
203	0.5331	0.5712	0.3545	0.7975	0.0826	0.7531	35.3750	0.1540	738.0000	161.0000	0.2182	740.0000
204	0.5082	0.5844	0.3543	0.7870	0.0758	0.7414	35.8750	0.1837	749.0000	177.0000	0.2363	751.0000
205	0.5458	0.5871	0.3513	0.7980	0.0876	0.7492	35.2500	0.1611	741.0000	173.0000	0.2335	743.0000
206	0.5303	0.5761	0.3558	0.7943	0.0897	0.7640	35.3750	0.1624	757.0000	171.0000	0.2259	759.0000
207	0.5210	0.5800	0.3582	0.7983	0.0838	0.7573	35.6250	0.1580	757.0000	169.0000	0.2232	762.0000
208	0.5164	0.5772	0.3568	0.7951	0.0831	0.7450	35.6250	0.1564	745.0000	175.0000	0.2349	749.0000
209	0.5406	0.5789	0.3587	0.8014	0.0856	0.7346	35.5000	0.1665	732.0000	177.0000	0.2418	734.0000
210	0.5216	0.5877	0.3544	0.7837	0.0885	0.7656	35.5000	0.1600	737.0000	169.0000	0.2293	739.0000
211	0.5424	0.5767	0.3591	0.7976	0.0822	0.7445	36.0000	0.1604	747.0000	178.0000	0.2383	753.0000
212	0.5574	0.5816	0.3611	0.8056	0.0818	0.7686	35.7500	0.1457	768.0000	171.0000	0.2227	770.0000
213	0.4808	0.5679	0.3473	0.8046	0.0812	0.7418	35.8750	0.1823	701.0000	172.0000	0.2454	706.0000
214	0.5115	0.5794	0.3544	0.8117	0.0800	0.7641	35.8750	0.1578	743.0000	167.0000	0.2248	747.0000
215	0.5403	0.5816	0.3562	0.8094	0.0813	0.7830	35.6250	0.1312	767.0000	171.0000	0.2229	772.0000
216	0.5140	0.5767	0.3584	0.7886	0.0800	0.7511	35.2500	0.1439	744.0000	177.0000	0.2379	747.0000
217	0.4993	0.5701	0.3557	0.8035	0.0844	0.7259	35.6250	0.1852	710.0000	175.0000	0.2465	713.0000
218	0.5015	0.5778	0.3416	0.8151	0.0780	0.7411	35.3750	0.1731	728.0000	167.0000	0.2294	733.0000
219	0.5586	0.5877	0.3631	0.7961	0.0825	0.7512	35.0000	0.1685	761.0000	174.0000	0.2286	766.0000
220	0.5215	0.5679	0.3471	0.7988	0.0756	0.7581	35.3750	0.1438	755.0000	164.0000	0.2172	760.0000
221	0.5415	0.5866	0.3735	0.7903	0.0901	0.7774	35.7500	0.1315	778.0000	171.0000	0.2198	784.0000
222	0.5458	0.5739	0.3545	0.7909	0.0846	0.7571	34.6250	0.1610	734.0000	166.0000	0.2262	739.0000
