accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
67	0.5169	0.5723	0.3381	0.8035	0.0757	0.7474	36.1250	0.1736	3.3038	165.0000	0.2337	711.0000	0.4817	474.0000	984.0000
68	0.5231	0.5728	0.3624	0.7943	0.0817	0.7462	36.0000	0.1661	3.3371	178.0000	0.2392	749.0000	0.4553	448.0000	984.0000
69	0.5470	0.5805	0.3576	0.7945	0.0835	0.7831	35.3750	0.1186	3.2617	164.0000	0.2113	778.0000	0.4776	470.0000	984.0000
70	0.5435	0.5871	0.3699	0.7771	0.0754	0.7440	35.7500	0.1629	3.4837	179.0000	0.2412	745.0000	0.4685	461.0000	984.0000
71	0.5432	0.5789	0.3649	0.7901	0.0777	0.7686	35.7500	0.1570	3.2816	173.0000	0.2221	786.0000	0.4980	490.0000	984.0000
72	0.5324	0.5855	0.3627	0.7979	0.0840	0.7550	35.1250	0.1629	3.2640	178.0000	0.2256	793.0000	0.4888	481.0000	984.0000
73	0.4999	0.5789	0.3571	0.7959	0.0731	0.7482	35.8750	0.1586	3.3094	175.0000	0.2327	754.0000	0.4665	459.0000	984.0000
74	0.5314	0.5750	0.3578	0.7830	0.0742	0.7611	35.3750	0.1406	3.3442	176.0000	0.2340	755.0000	0.4665	459.0000	984.0000
75	0.5013	0.5772	0.3502	0.8055	0.0767	0.7595	36.0000	0.1484	3.3180	176.0000	0.2401	735.0000	0.4634	456.0000	984.0000
76	0.5464	0.5855	0.3488	0.8129	0.0792	0.7707	35.7500	0.1537	3.3172	174.0000	0.2317	754.0000	0.4614	454.0000	984.0000
77	0.5238	0.5728	0.3444	0.7844	0.0748	0.7575	35.1250	0.1493	3.3562	174.0000	0.2323	755.0000	0.4451	438.0000	984.0000
78	0.5052	0.5877	0.3543	0.8080	0.0809	0.7649	35.2500	0.1645	3.2495	163.0000	0.2179	752.0000	0.4766	469.0000	984.0000
79	0.5263	0.5701	0.3477	0.8096	0.0788	0.7586	35.5000	0.1588	3.3753	173.0000	0.2493	696.0000	0.4360	429.0000	984.0000
80	0.5103	0.5772	0.3684	0.7998	0.0771	0.7479	35.5000	0.1600	3.4249	180.0000	0.2446	740.0000	0.4736	466.0000	984.0000
81	0.5232	0.5706	0.3571	0.7807	0.0782	0.7415	36.3750	0.1738	3.3043	176.0000	0.2382	742.0000	0.4675	460.0000	984.0000
82	0.5144	0.5778	0.3694	0.7903	0.0798	0.7784	35.5000	0.1388	3.1163	172.0000	0.2147	806.0000	0.5244	516.0000	984.0000
83	0.5212	0.5833	0.3540	0.7788	0.0773	0.7622	36.1250	0.1352	3.1405	178.0000	0.2200	813.0000	0.4990	491.0000	984.0000
84	0.5488	0.5734	0.3546	0.8022	0.0749	0.7624	35.2500	0.1366	3.4128	170.0000	0.2255	758.0000	0.4604	453.0000	984.0000
85	0.5388	0.5767	0.3615	0.8006	0.0764	0.7585	35.6250	0.1537	3.3340	179.0000	0.2355	763.0000	0.4868	479.0000	984.0000
86	0.5113	0.5816	0.3679	0.7927	0.0810	0.7604	35.3750	0.1592	3.3488	168.0000	0.2222	758.0000	0.4807	473.0000	984.0000
87	0.5273	0.5679	0.3532	0.7918	0.0752	0.7686	35.1250	0.1330	3.3226	166.0000	0.2240	744.0000	0.4726	465.0000	984.0000
88	0.5217	0.5811	0.3643	0.7871	0.0869	0.7713	35.7500	0.1613	3.2878	170.0000	0.2168	787.0000	0.4980	490.0000	984.0000
89	0.5163	0.5723	0.3435	0.7981	0.0761	0.7542	35.1250	0.1543	3.3010	167.0000	0.2233	753.0000	0.4929	485.0000	984.0000
90	0.4861	0.5750	0.3622	0.8015	0.0789	0.7579	35.3750	0.1584	3.3095	170.0000	0.2282	747.0000	0.4695	462.0000	984.0000
91	0.5362	0.5756	0.3569	0.7790	0.0775	0.7603	36.0000	0.1475	3.2505	178.0000	0.2330	767.0000	0.4624	455.0000	984.0000
92	0.4870	0.5937	0.3672	0.7813	0.0788	0.7490	35.7500	0.1549	3.2697	186.0000	0.2296	814.0000	0.4898	482.0000	984.0000
93	0.5170	0.5800	0.3630	0.7827	0.0874	0.7565	36.0000	0.1645	3.2683	174.0000	0.2211	790.0000	0.4848	477.0000	984.0000
94	0.5253	0.5723	0.3512	0.7837	0.0913	0.7321	35.1250	0.1687	3.2563	180.0000	0.2384	760.0000	0.4878	480.0000	984.0000
95	0.5281	0.5750	0.3705	0.7932	0.0793	0.7570	35.5000	0.1528	3.2127	179.0000	0.2399	750.0000	0.4970	489.0000	984.0000
96	0.5096	0.5717	0.3527	0.7827	0.0706	0.7434	35.7500	0.1556	3.3383	180.0000	0.2469	734.0000	0.4776	470.0000	984.0000
97	0.5236	0.5772	0.3489	0.7968	0.0793	0.7576	35.1250	0.1632	3.2618	165.0000	0.2295	723.0000	0.4736	466.0000	984.0000
98	0.5410	0.5860	0.3627	0.7999	0.0781	0.7407	35.6250	0.1652	3.5070	172.0000	0.2426	713.0000	0.4370	430.0000	984.0000
99	0.5332	0.5811	0.3614	0.7922	0.0808	0.7698	35.1250	0.1657	3.3391	167.0000	0.2189	765.0000	0.4705	463.0000	984.0000
100	0.5478	0.5816	0.3636	0.7930	0.0820	0.7802	35.6250	0.1357	3.3290	165.0000	0.2094	793.0000	0.4665	459.0000	984.0000
101	0.5159	0.5789	0.3674	0.8061	0.0778	0.7581	35.5000	0.1698	3.2430	179.0000	0.2235	804.0000	0.5102	502.0000	984.0000
102	0.5360	0.5745	0.3702	0.7957	0.0786	0.7436	34.7500	0.1517	3.4527	177.0000	0.2431	730.0000	0.4512	444.0000	984.0000
103	0.5121	0.5816	0.3440	0.7949	0.0823	0.7474	35.8750	0.1670	3.3192	173.0000	0.2367	733.0000	0.4553	448.0000	984.0000
104	0.5065	0.5800	0.3665	0.8112	0.0795	0.7366	36.3750	0.1852	3.3921	181.0000	0.2453	741.0000	0.4614	454.0000	984.0000
105	0.4996	0.5761	0.3517	0.7961	0.0822	0.7375	35.5000	0.1848	3.4031	180.0000	0.2459	734.0000	0.4614	454.0000	984.0000
106	0.4959	0.5690	0.3382	0.7804	0.0726	0.7247	35.2500	0.1895	3.2928	179.0000	0.2528	710.0000	0.4512	444.0000	984.0000
107	0.5386	0.5772	0.3528	0.7934	0.0810	0.7636	35.3750	0.1429	3.3383	172.0000	0.2260	766.0000	0.4807	473.0000	984.0000
108	0.5137	0.5833	0.3694	0.7925	0.0802	0.7558	35.2500	0.1581	3.2632	173.0000	0.2207	789.0000	0.5213	513.0000	984.0000
109	0.5279	0.5794	0.3717	0.7949	0.0759	0.7654	35.2500	0.1545	3.2258	173.0000	0.2171	803.0000	0.5041	496.0000	984.0000
110	0.5286	0.5783	0.3557	0.7841	0.0809	0.7662	35.6250	0.1404	3.2505	177.0000	0.2323	764.0000	0.4827	475.0000	984.0000
111	0.4996	0.5701	0.3505	0.7964	0.0809	0.7530	35.7500	0.1765	3.1910	169.0000	0.2284	742.0000	0.4309	424.0000	984.0000
112	0.5097	0.5767	0.3669	0.8040	0.0757	0.7581	35.5000	0.1539	3.3210	177.0000	0.2347	759.0000	0.4685	461.0000	984.0000
113	0.4969	0.5778	0.3561	0.8184	0.0903	0.7589	35.0000	0.1629	3.2463	164.0000	0.2190	754.0000	0.4827	475.0000	984.0000
114	0.4977	0.5690	0.3385	0.8132	0.0775	0.7674	35.2500	0.1422	3.4151	161.0000	0.2284	707.0000	0.4309	424.0000	984.0000
115	0.5078	0.5728	0.3672	0.8055	0.0814	0.7649	35.0000	0.1534	3.2878	171.0000	0.2229	772.0000	0.4837	476.0000	984.0000
116	0.5163	0.5767	0.3561	0.7933	0.0815	0.7703	35.3750	0.1578	3.1785	170.0000	0.2342	728.0000	0.4726	465.0000	984.0000
117	0.5162	0.5794	0.3482	0.7803	0.0731	0.7469	35.1250	0.1589	3.2925	180.0000	0.2308	783.0000	0.4726	465.0000	984.0000
118	0.5161	0.5800	0.3545	0.7934	0.0735	0.7582	35.8750	0.1529	3.3644	174.0000	0.2311	757.0000	0.4685	461.0000	984.0000
119	0.5039	0.5750	0.3387	0.7949	0.0701	0.7470	35.3750	0.1672	3.2795	175.0000	0.2424	724.0000	0.4654	458.0000	984.0000
120	0.5538	0.5662	0.3522	0.8121	0.0793	0.7518	35.6250	0.1468	3.2117	167.0000	0.2266	741.0000	0.4705	463.0000	984.0000
121	0.5770	0.5816	0.3525	0.7936	0.0809	0.7493	35.7500	0.1584	3.5023	179.0000	0.2422	741.0000	0.4329	426.0000	984.0000
122	0.4880	0.5679	0.3414	0.7885	0.0721	0.7492	35.2500	0.1597	3.2067	176.0000	0.2462	719.0000	0.4573	450.0000	984.0000
123	0.5169	0.5800	0.3734	0.7888	0.0801	0.7575	35.5000	0.1532	3.4456	184.0000	0.2356	784.0000	0.4766	469.0000	984.0000
124	0.5330	0.5750	0.3578	0.7996	0.0767	0.7651	35.0000	0.1538	3.2967	170.0000	0.2264	757.0000	0.4624	455.0000	984.0000
125	0.4993	0.5695	0.3493	0.7969	0.0762	0.7490	35.1250	0.1546	3.3973	174.0000	0.2420	722.0000	0.4451	438.0000	984.0000
126	0.4976	0.5668	0.3480	0.7937	0.0802	0.7413	36.0000	0.1688	3.1870	175.0000	0.2312	760.0000	0.4675	460.0000	984.0000
