accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
914	0.8379	0.6156	0.3509	0.7869	0.0589	0.8979	17.0000	0.0694	846.0000	77.0000	0.0910	877.0000
915	0.7941	0.6176	0.3502	0.7551	0.0623	0.8800	17.1000	0.0868	828.0000	90.0000	0.1087	851.0000
916	0.8267	0.6230	0.3560	0.7809	0.0630	0.8790	17.0000	0.0803	833.0000	91.0000	0.1092	859.0000
917	0.8334	0.6193	0.3651	0.7716	0.0623	0.9013	16.9000	0.0617	846.0000	80.0000	0.0946	870.0000
918	0.8069	0.6263	0.3554	0.7577	0.0647	0.8711	17.1000	0.0892	823.0000	91.0000	0.1106	856.0000
919	0.7947	0.6156	0.3578	0.7471	0.0590	0.8806	17.0000	0.0877	831.0000	87.0000	0.1047	886.0000
920	0.8185	0.6123	0.3530	0.7632	0.0625	0.8916	17.2000	0.0656	840.0000	82.0000	0.0976	853.0000
921	0.8301	0.6143	0.3464	0.7358	0.0574	0.8821	17.2000	0.0709	875.0000	85.0000	0.0971	900.0000
922	0.8372	0.6082	0.3489	0.7781	0.0618	0.8854	17.1000	0.0614	791.0000	85.0000	0.1075	800.0000
923	0.8108	0.6143	0.3530	0.7767	0.0657	0.8802	17.0000	0.0768	810.0000	91.0000	0.1123	851.0000
924	0.8322	0.6193	0.3681	0.7511	0.0650	0.8827	17.0000	0.0733	834.0000	85.0000	0.1019	859.0000
925	0.8119	0.6073	0.3459	0.7494	0.0621	0.8683	17.0000	0.0793	814.0000	95.0000	0.1167	830.0000
926	0.8341	0.6148	0.3471	0.7666	0.0610	0.8805	17.1000	0.0873	815.0000	85.0000	0.1043	843.0000
927	0.8203	0.6115	0.3445	0.7684	0.0600	0.8637	17.2000	0.0743	837.0000	88.0000	0.1051	843.0000
928	0.8207	0.6176	0.3594	0.7857	0.0634	0.8754	17.1000	0.0755	852.0000	89.0000	0.1045	872.0000
929	0.8076	0.6135	0.3465	0.7506	0.0602	0.8760	17.2000	0.0777	827.0000	91.0000	0.1100	863.0000
930	0.8487	0.6164	0.3587	0.7881	0.0656	0.9089	16.8000	0.0615	809.0000	74.0000	0.0915	831.0000
931	0.8316	0.6193	0.3587	0.7688	0.0634	0.8910	17.3000	0.0820	848.0000	83.0000	0.0979	877.0000
932	0.8080	0.6139	0.3576	0.7761	0.0627	0.8874	17.0000	0.0719	865.0000	84.0000	0.0971	892.0000
933	0.8138	0.6160	0.3549	0.7577	0.0593	0.8745	17.0000	0.0660	901.0000	89.0000	0.0988	915.0000
934	0.8236	0.6213	0.3675	0.7978	0.0620	0.8884	16.9000	0.0708	851.0000	84.0000	0.0987	892.0000
935	0.8275	0.6238	0.3690	0.7496	0.0667	0.8736	17.1000	0.0826	860.0000	92.0000	0.1070	868.0000
936	0.8172	0.6197	0.3496	0.7480	0.0605	0.8627	17.2000	0.0913	850.0000	95.0000	0.1118	883.0000
937	0.8359	0.6148	0.3483	0.7704	0.0613	0.8838	17.1000	0.0652	878.0000	88.0000	0.1002	885.0000
938	0.8228	0.6152	0.3545	0.7752	0.0627	0.8946	16.9000	0.0616	901.0000	85.0000	0.0943	914.0000
939	0.8396	0.6234	0.3524	0.7820	0.0593	0.8886	17.2000	0.0548	871.0000	84.0000	0.0964	901.0000
940	0.8395	0.6185	0.3558	0.7586	0.0610	0.8832	17.1000	0.0741	877.0000	97.0000	0.1106	908.0000
941	0.8133	0.6213	0.3589	0.7623	0.0617	0.8858	17.3000	0.0561	896.0000	84.0000	0.0938	917.0000
942	0.8315	0.6139	0.3545	0.7653	0.0580	0.8912	16.9000	0.0749	883.0000	88.0000	0.0997	914.0000
943	0.8388	0.6176	0.3498	0.7645	0.0564	0.8870	17.1000	0.0661	872.0000	86.0000	0.0986	902.0000
944	0.8317	0.6193	0.3516	0.7603	0.0640	0.8755	17.1000	0.0682	821.0000	94.0000	0.1145	854.0000
945	0.8249	0.6148	0.3588	0.7652	0.0606	0.8910	17.1000	0.0705	843.0000	82.0000	0.0973	869.0000
