accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
96	0.5168	0.5816	0.3617	2.1370	0.0733	0.7415	35.1250	0.1452	3.3233	179.0000	0.2371	759.0000	0.4785	467.0000	976.0000	0.9209	0.8001
97	0.5255	0.5756	0.3644	2.1282	0.0842	0.7764	35.0000	0.1457	3.2971	167.0000	0.2242	749.0000	0.5000	488.0000	976.0000	0.9306	0.8289
98	0.5117	0.5717	0.3654	2.2464	0.0813	0.7486	35.8750	0.1555	3.3223	169.0000	0.2232	763.0000	0.4959	484.0000	976.0000	0.9345	0.8174
99	0.5296	0.5888	0.3716	2.1680	0.0829	0.7647	35.0000	0.1493	3.3629	163.0000	0.2170	756.0000	0.4857	474.0000	976.0000	0.9458	0.8229
100	0.5132	0.5717	0.3624	2.1964	0.0818	0.7459	35.5000	0.1594	3.2758	165.0000	0.2317	718.0000	0.4570	446.0000	976.0000	0.9387	0.8199
101	0.5235	0.5739	0.3625	2.0873	0.0802	0.7502	35.5000	0.1531	3.3651	171.0000	0.2201	779.0000	0.4939	482.0000	976.0000	0.9320	0.8163
102	0.5032	0.5723	0.3552	2.1398	0.0755	0.7606	34.8750	0.1416	3.4172	162.0000	0.2298	708.0000	0.4764	465.0000	976.0000	0.9477	0.8200
103	0.5132	0.5866	0.3643	2.3487	0.0784	0.7546	35.7500	0.1758	3.3091	176.0000	0.2404	737.0000	0.4939	482.0000	976.0000	0.9281	0.8126
104	0.5210	0.5772	0.3592	1.9852	0.0804	0.7715	35.2500	0.1377	3.3634	161.0000	0.2185	741.0000	0.4652	454.0000	976.0000	0.9501	0.8188
105	0.5431	0.5629	0.3413	2.1863	0.0764	0.7469	35.3750	0.1695	3.2697	163.0000	0.2332	703.0000	0.4559	445.0000	976.0000	0.9374	0.8197
106	0.5120	0.5701	0.3550	2.2264	0.0777	0.7481	35.3750	0.1492	3.3054	167.0000	0.2336	720.0000	0.4764	465.0000	976.0000	0.9417	0.8087
107	0.5249	0.5706	0.3540	2.4532	0.0730	0.7544	35.6250	0.1573	3.2668	174.0000	0.2336	748.0000	0.4877	476.0000	976.0000	0.9251	0.8199
108	0.5236	0.5800	0.3554	2.1583	0.0743	0.7500	35.6250	0.1682	3.2844	162.0000	0.2318	701.0000	0.4611	450.0000	976.0000	0.9358	0.8344
109	0.4802	0.5695	0.3585	2.2253	0.0731	0.7425	35.6250	0.1584	3.3431	170.0000	0.2378	719.0000	0.4898	478.0000	976.0000	0.9332	0.8126
110	0.5460	0.5635	0.3477	2.0583	0.0815	0.7694	35.6250	0.1436	3.2215	156.0000	0.2125	737.0000	0.4857	474.0000	976.0000	0.9471	0.8200
111	0.5347	0.5833	0.3588	2.2170	0.0867	0.7514	35.3750	0.1507	3.3625	180.0000	0.2413	751.0000	0.5031	491.0000	976.0000	0.9188	0.8271
112	0.5328	0.5888	0.3643	2.1763	0.0801	0.7627	35.3750	0.1710	3.6063	168.0000	0.2383	709.0000	0.4529	442.0000	976.0000	0.9365	0.8380
113	0.5554	0.5607	0.3553	2.0668	0.0868	0.7611	35.2500	0.1472	3.1910	158.0000	0.2118	748.0000	0.4775	466.0000	976.0000	0.9505	0.8235
114	0.5437	0.5772	0.3539	2.1313	0.0810	0.7523	35.5000	0.1462	3.3722	163.0000	0.2236	731.0000	0.4570	446.0000	976.0000	0.9439	0.8098
115	0.5435	0.5833	0.3678	2.2408	0.0786	0.7650	34.7500	0.1636	3.3723	171.0000	0.2259	760.0000	0.4734	462.0000	976.0000	0.9289	0.8200
116	0.5170	0.5811	0.3618	2.1755	0.0795	0.7792	35.6250	0.1226	3.3580	166.0000	0.2207	758.0000	0.4980	486.0000	976.0000	0.9354	0.8202
117	0.5341	0.5833	0.3567	2.1026	0.0817	0.7744	35.8750	0.1482	3.4621	167.0000	0.2291	731.0000	0.4457	435.0000	976.0000	0.9357	0.8187
118	0.5762	0.5871	0.3639	2.1179	0.0863	0.7628	35.8750	0.1347	3.4558	169.0000	0.2296	738.0000	0.4631	452.0000	976.0000	0.9363	0.8257
119	0.5347	0.5783	0.3580	2.2235	0.0742	0.7611	35.6250	0.1515	3.3819	167.0000	0.2379	707.0000	0.4641	453.0000	976.0000	0.9349	0.8198
120	0.5551	0.5882	0.3764	2.1115	0.0833	0.7733	35.1250	0.1252	3.3554	167.0000	0.2203	762.0000	0.4959	484.0000	976.0000	0.9396	0.8177
121	0.5307	0.5679	0.3646	2.0383	0.0810	0.7593	35.5000	0.1502	3.3935	164.0000	0.2256	731.0000	0.4713	460.0000	976.0000	0.9371	0.8279
122	0.5515	0.5800	0.3572	2.0954	0.0715	0.7694	35.1250	0.1508	3.3664	164.0000	0.2313	713.0000	0.4754	464.0000	976.0000	0.9341	0.8356
123	0.5341	0.5794	0.3657	2.0054	0.0774	0.7605	35.7500	0.1493	3.2718	165.0000	0.2236	745.0000	0.4939	482.0000	976.0000	0.9423	0.8335
124	0.5285	0.5756	0.3559	2.2278	0.0848	0.7658	35.1250	0.1654	3.2821	163.0000	0.2233	733.0000	0.4867	475.0000	976.0000	0.9345	0.8247
125	0.5367	0.5838	0.3685	1.9612	0.0818	0.7822	35.5000	0.1444	3.4759	151.0000	0.2100	721.0000	0.4887	477.0000	976.0000	0.9639	0.8313
126	0.5048	0.5728	0.3538	2.0670	0.0791	0.7630	36.1250	0.1473	3.2968	159.0000	0.2140	746.0000	0.4764	465.0000	976.0000	0.9424	0.8174
127	0.5421	0.5695	0.3505	2.0664	0.0785	0.7797	35.2500	0.1542	3.2664	160.0000	0.2180	738.0000	0.4846	473.0000	976.0000	0.9350	0.8357
128	0.5599	0.5783	0.3525	2.1807	0.0790	0.7727	35.1250	0.1437	3.3155	160.0000	0.2125	758.0000	0.4775	466.0000	976.0000	0.9340	0.8199
129	0.5485	0.5761	0.3724	2.1570	0.0882	0.7751	36.0000	0.1390	3.3133	161.0000	0.2167	745.0000	0.4939	482.0000	976.0000	0.9477	0.8193
130	0.5457	0.5816	0.3574	2.1113	0.0754	0.7740	35.1250	0.1511	3.5289	161.0000	0.2144	755.0000	0.4611	450.0000	976.0000	0.9457	0.8279
131	0.5111	0.5728	0.3607	2.0569	0.0809	0.7621	35.6250	0.1685	3.3002	165.0000	0.2248	738.0000	0.4846	473.0000	976.0000	0.9377	0.8337
132	0.5856	0.5712	0.3609	2.0252	0.0829	0.7901	35.3750	0.1294	3.2301	152.0000	0.2021	755.0000	0.4631	452.0000	976.0000	0.9510	0.8148
133	0.5332	0.5734	0.3578	2.0923	0.0808	0.7479	35.8750	0.1640	3.3783	163.0000	0.2299	715.0000	0.4713	460.0000	976.0000	0.9357	0.8108
134	0.5147	0.5750	0.3545	2.3662	0.0716	0.7735	35.2500	0.1431	3.2851	162.0000	0.2172	751.0000	0.4887	477.0000	976.0000	0.9494	0.8192
135	0.5148	0.5701	0.3458	2.1176	0.0723	0.7369	35.5000	0.1777	3.2816	172.0000	0.2389	723.0000	0.4621	451.0000	976.0000	0.9212	0.8127
136	0.5454	0.5827	0.3675	2.0134	0.0802	0.7731	36.0000	0.1492	3.3279	162.0000	0.2186	744.0000	0.5031	491.0000	976.0000	0.9476	0.8343
137	0.5386	0.5629	0.3523	2.1312	0.0736	0.7641	35.1250	0.1488	3.3849	158.0000	0.2270	701.0000	0.4764	465.0000	976.0000	0.9444	0.8231
138	0.5635	0.5684	0.3585	2.1380	0.0827	0.7735	35.3750	0.1442	3.0938	159.0000	0.2103	761.0000	0.4805	469.0000	976.0000	0.9409	0.8075
139	0.5181	0.5591	0.3580	2.0444	0.0746	0.7460	35.0000	0.1689	3.4289	167.0000	0.2406	698.0000	0.4826	471.0000	976.0000	0.9355	0.8353
140	0.5419	0.5706	0.3515	2.1322	0.0789	0.7599	35.7500	0.1641	3.2467	163.0000	0.2254	726.0000	0.4652	454.0000	976.0000	0.9284	0.8117
141	0.5596	0.5794	0.3653	2.1619	0.0832	0.7663	35.6250	0.1481	3.4240	168.0000	0.2273	741.0000	0.4785	467.0000	976.0000	0.9298	0.8290
142	0.5443	0.5580	0.3475	2.2691	0.0766	0.7561	35.6250	0.1764	3.3215	171.0000	0.2436	706.0000	0.4334	423.0000	976.0000	0.9320	0.8211
143	0.5472	0.5827	0.3562	2.1785	0.0805	0.7602	35.7500	0.1474	3.1646	167.0000	0.2248	745.0000	0.4918	480.0000	976.0000	0.9342	0.8179
144	0.5475	0.5761	0.3601	2.0838	0.0791	0.7728	34.7500	0.1345	3.3341	154.0000	0.2087	740.0000	0.4723	461.0000	976.0000	0.9554	0.8160
145	0.5373	0.5783	0.3628	2.1016	0.0791	0.7403	35.5000	0.1583	3.4457	172.0000	0.2471	699.0000	0.4529	442.0000	976.0000	0.9256	0.8166
146	0.5203	0.5794	0.3624	2.0579	0.0750	0.7730	35.3750	0.1453	3.2794	160.0000	0.2159	743.0000	0.4877	476.0000	976.0000	0.9421	0.8171
147	0.5175	0.5871	0.3559	2.1773	0.0817	0.7613	35.6250	0.1492	3.3106	158.0000	0.2153	739.0000	0.4816	470.0000	976.0000	0.9526	0.8067
148	0.4956	0.5712	0.3450	2.1509	0.0769	0.7593	35.2500	0.1694	3.2418	159.0000	0.2134	749.0000	0.5000	488.0000	976.0000	0.9453	0.8221
149	0.5135	0.5673	0.3492	2.2477	0.0764	0.7456	35.7500	0.1540	3.1328	163.0000	0.2148	767.0000	0.4939	482.0000	976.0000	0.9413	0.8073
150	0.5266	0.5651	0.3568	2.1348	0.0772	0.7480	35.3750	0.1731	3.4912	171.0000	0.2436	705.0000	0.4652	454.0000	976.0000	0.9319	0.8217
151	0.5523	0.5811	0.3606	2.0779	0.0798	0.7778	35.7500	0.1595	3.5189	161.0000	0.2293	706.0000	0.4600	449.0000	976.0000	0.9363	0.8257
152	0.5559	0.5739	0.3621	2.1355	0.0809	0.7726	35.5000	0.1547	3.3179	162.0000	0.2207	738.0000	0.4867	475.0000	976.0000	0.9472	0.8163
153	0.5077	0.5756	0.3606	2.2818	0.0755	0.7630	35.7500	0.1588	3.3491	173.0000	0.2276	763.0000	0.4549	444.0000	976.0000	0.9305	0.8095
154	0.5423	0.5739	0.3474	2.2016	0.0749	0.7556	35.7500	0.1550	3.3047	168.0000	0.2267	744.0000	0.4775	466.0000	976.0000	0.9382	0.8065
155	0.5486	0.5739	0.3686	2.1516	0.0743	0.7766	36.0000	0.1398	3.3040	166.0000	0.2167	772.0000	0.5123	500.0000	976.0000	0.9443	0.8166
156	0.5147	0.5706	0.3490	2.1919	0.0700	0.7685	34.8750	0.1521	3.2626	165.0000	0.2224	745.0000	0.4877	476.0000	976.0000	0.9369	0.8073
157	0.5127	0.5800	0.3692	2.2021	0.0836	0.7703	35.5000	0.1315	3.3647	165.0000	0.2174	762.0000	0.5225	510.0000	976.0000	0.9396	0.8156
