accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
120	0.3875	0.4695	0.3500	0.8447	0.0089	0.6298	35.8947	0.3291	665.0000	187.0000	0.2812	685.0000
121	0.3716	0.4728	0.3601	0.8253	0.0093	0.6087	36.0000	0.3523	702.0000	208.0000	0.2963	718.0000
122	0.3500	0.4623	0.3436	0.8331	0.0078	0.6079	36.1053	0.3508	708.0000	200.0000	0.2825	725.0000
123	0.3807	0.4726	0.3502	0.8562	0.0092	0.6226	35.8947	0.3425	662.0000	185.0000	0.2795	682.0000
124	0.3797	0.4663	0.3477	0.8411	0.0081	0.6474	36.0000	0.3129	712.0000	187.0000	0.2626	737.0000
125	0.3962	0.4661	0.3487	0.8697	0.0089	0.6237	36.2105	0.3368	662.0000	186.0000	0.2810	675.0000
126	0.3868	0.4707	0.3486	0.8423	0.0088	0.6247	36.3158	0.3319	701.0000	193.0000	0.2753	721.0000
127	0.3725	0.4712	0.3504	0.8434	0.0089	0.6243	36.1053	0.3333	701.0000	195.0000	0.2782	719.0000
128	0.3973	0.4682	0.3528	0.8444	0.0088	0.6252	36.0526	0.3410	686.0000	184.0000	0.2682	702.0000
129	0.3911	0.4647	0.3593	0.8440	0.0091	0.6183	36.1053	0.3333	657.0000	182.0000	0.2770	674.0000
130	0.3818	0.4689	0.3399	0.8446	0.0085	0.6295	36.2105	0.3255	699.0000	195.0000	0.2790	723.0000
131	0.4102	0.4719	0.3542	0.8435	0.0099	0.6379	36.2632	0.3297	671.0000	185.0000	0.2757	687.0000
132	0.4201	0.4679	0.3523	0.8539	0.0085	0.6517	35.7368	0.3037	689.0000	179.0000	0.2598	710.0000
133	0.3842	0.4682	0.3491	0.8446	0.0088	0.6244	36.0526	0.3391	668.0000	193.0000	0.2889	680.0000
134	0.3954	0.4698	0.3575	0.8523	0.0086	0.6297	36.1053	0.3327	691.0000	185.0000	0.2677	710.0000
135	0.3886	0.4726	0.3571	0.8439	0.0093	0.6209	36.4211	0.3254	695.0000	194.0000	0.2791	707.0000
136	0.3982	0.4691	0.3591	0.8399	0.0090	0.6421	36.0526	0.3104	747.0000	189.0000	0.2530	759.0000
137	0.3952	0.4728	0.3668	0.8510	0.0094	0.6291	36.0000	0.3350	667.0000	187.0000	0.2804	684.0000
138	0.4032	0.4693	0.3524	0.8460	0.0087	0.6392	35.9474	0.3106	683.0000	179.0000	0.2621	702.0000
139	0.3705	0.4679	0.3595	0.8360	0.0083	0.6230	36.2105	0.3282	700.0000	190.0000	0.2714	720.0000
140	0.4088	0.4679	0.3563	0.8561	0.0093	0.6676	36.2105	0.3012	653.0000	158.0000	0.2420	668.0000
141	0.4040	0.4672	0.3552	0.8373	0.0086	0.6625	35.8421	0.3031	696.0000	174.0000	0.2500	709.0000
142	0.3816	0.4707	0.3580	0.8352	0.0094	0.6218	36.0000	0.3269	683.0000	196.0000	0.2870	699.0000
143	0.4066	0.4682	0.3506	0.8373	0.0092	0.6351	36.3158	0.3181	700.0000	190.0000	0.2714	713.0000
144	0.3960	0.4663	0.3514	0.8404	0.0090	0.6325	36.1579	0.3337	672.0000	174.0000	0.2589	693.0000
145	0.3834	0.4661	0.3488	0.8568	0.0085	0.6424	35.9474	0.3150	684.0000	179.0000	0.2617	704.0000
146	0.3902	0.4689	0.3564	0.8380	0.0087	0.6397	36.0000	0.3251	678.0000	184.0000	0.2714	698.0000
147	0.4222	0.4719	0.3635	0.8406	0.0092	0.6433	36.1579	0.3188	701.0000	186.0000	0.2653	724.0000
148	0.3678	0.4700	0.3516	0.8388	0.0095	0.6218	36.1579	0.3401	694.0000	194.0000	0.2795	708.0000
149	0.3874	0.4675	0.3565	0.8462	0.0087	0.6261	36.2105	0.3295	697.0000	193.0000	0.2769	712.0000
150	0.3802	0.4644	0.3572	0.8412	0.0085	0.6371	36.1579	0.3194	713.0000	182.0000	0.2553	734.0000
151	0.3967	0.4665	0.3566	0.8365	0.0088	0.6462	36.2105	0.3244	697.0000	184.0000	0.2640	712.0000
152	0.3745	0.4684	0.3370	0.8458	0.0090	0.6127	35.8421	0.3503	675.0000	193.0000	0.2859	687.0000
153	0.3840	0.4702	0.3547	0.8344	0.0092	0.6312	36.1579	0.3264	699.0000	186.0000	0.2661	720.0000
154	0.3875	0.4742	0.3630	0.8352	0.0098	0.6130	36.1053	0.3577	693.0000	204.0000	0.2944	702.0000
155	0.4011	0.4705	0.3524	0.8465	0.0086	0.6399	35.7895	0.3243	699.0000	181.0000	0.2589	717.0000
156	0.3687	0.4658	0.3517	0.8435	0.0082	0.6218	35.8421	0.3447	681.0000	194.0000	0.2849	700.0000
157	0.3620	0.4630	0.3316	0.8577	0.0085	0.6150	36.2632	0.3473	665.0000	183.0000	0.2752	676.0000
158	0.3967	0.4700	0.3497	0.8570	0.0089	0.6509	36.0526	0.3164	668.0000	176.0000	0.2635	686.0000
